,Rang national,Nom de l'établissement,Commune,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,1,Collège Blomet,Paris 15,Privé,99.8,16.433333333333334,95.66666666666667
2,3,Collège Saint-Louis de Gonzague,Paris 16,Privé,100,16.433333333333334,93.66666666666667
3,6,Collège Fénelon Sainte-Marie,Paris 08,Privé,99.3,15.666666666666666,95.33333333333333
4,17,Collège Saint-Ambroise,Paris 11,Privé,100,15.633333333333335,93.66666666666667
5,24,Collège Henri IV,Paris 05,Public,99,14.733333333333333,96.33333333333333
6,32,Collège Stanislas,Paris 06,Privé,99.73333333333333,16.866666666666667,87.66666666666667
7,34,Collège L'École alsacienne,Paris 06,Privé,98.39999999999999,14.866666666666665,94.66666666666667
8,40,Collège des Francs Bourgeois,Paris 04,Privé,99.8,15.066666666666668,93
9,50,Collège Bossuet Notre-Dame,Paris 10,Privé,100,15.300000000000002,91.33333333333333
10,63,Collège Sainte-Clotilde,Paris 12,Privé,97.91666666666667,14.6,94
11,68,Collège Notre-Dame de Sion,Paris 06,Privé,99.3,15.366666666666665,90.66666666666667
12,69,Collège Saint-Michel de Picpus,Paris 12,Privé,99.35000000000001,14.933333333333332,92
13,77,Collège Soeur Rosalie,Paris 05,Privé,99.5,15,91.33333333333333
14,80,Collège Sévigné,Paris 05,Privé,99.61666666666667,15.733333333333334,88.66666666666667
15,82,Collège Gerson,Paris 16,Privé,99.63333333333333,14.833333333333334,91.66666666666667
16,99,Collège Lavoisier,Paris 05,Public,98.06666666666666,13.633333333333333,95.66666666666667
17,101,Collège La Rochefoucauld,Paris 07,Privé,99.60000000000001,15.299999999999999,89.33333333333333
18,113,Collège Saint-Michel des Batignolles,Paris 17,Privé,98.65000000000002,14.433333333333335,92.33333333333333
19,128,Collège Massillon,Paris 04,Privé,100,14.5,91.33333333333333
20,130,Collège La Salle - Notre-Dame de la Gare,Paris 13,Privé,98.10000000000001,13.233333333333334,96.33333333333333
21,133,Collège Rocroy Saint-Vincent de Paul,Paris 10,Privé,98.81666666666666,14.700000000000001,91
22,135,Collège Pierre Alviset,Paris 05,Public,97.93333333333334,14.1,93.33333333333333
23,138,Collège de la Tour,Paris 16,Privé,100,16.400000000000002,84.66666666666667
24,153,Collège Yabné,Paris 13,Privé,100,14.766666666666666,90
25,157,Collège Pascal,Paris 16,Privé,100,15.433333333333335,87.66666666666667
26,161,Collège Notre-Dame de Lourdes,Paris 20,Privé,99.61666666666667,13.966666666666667,92.66666666666667
27,166,Collège Sainte-Ursule Louise de Bettignies,Paris 17,Privé,100,14.666666666666666,90
28,170,Collège La Bruyère Sainte-Isabelle,Paris 14,Privé,99.83333333333333,14.266666666666666,91.33333333333333
29,178,Collège Saint-Jean de Passy,Paris 16,Privé,99.10000000000001,15.1,88.66666666666667
30,180,Collège Montaigne,Paris 06,Public,98.13333333333333,13.633333333333333,94
31,215,Collège Sainte-Marie,Paris 13,Privé,96.03333333333335,13.200000000000001,95.66666666666667
32,219,Collège Notre-Dame des Oiseaux,Paris 16,Privé,100,14.6,89.33333333333333
33,228,Collège Paul Claudel d'Hulst,Paris 07,Privé,99.53333333333335,14.533333333333331,89.66666666666667
34,243,Collège Sainte-Jeanne-Élisabeth,Paris 07,Privé,99.81666666666666,14.933333333333332,88
35,300,Collège Chaptal,Paris 08,Public,97.66666666666667,13.633333333333335,92.33333333333333
36,322,Collège Charles Péguy,Paris 11,Privé,99.83333333333333,14.799999999999999,87.33333333333333
37,364,Collège Jean-Baptiste Say,Paris 16,Public,94.64999999999999,13.733333333333334,92.33333333333333
38,472,Collège Saint-Exupéry,Paris 14,Public,97.38333333333333,12.533333333333331,94.33333333333333
39,473,Collège Alphonse de Lamartine,Paris 09,Public,95.56666666666666,12.833333333333334,94
40,487,Collège Notre-Dame de France,Paris 13,Privé,99.64999999999999,15.866666666666667,82
41,494,Collège Condorcet,Paris 08,Public,95.83333333333333,13.233333333333334,92.33333333333333
42,520,Collège Pierre Jean de Béranger,Paris 03,Public,96.58333333333333,12.799999999999999,93.33333333333333
43,604,Collège Carnot,Paris 17,Public,97.18333333333334,13.233333333333334,91
44,634,Collège Claude Monet,Paris 13,Public,91.11666666666667,12.666666666666666,95
45,641,Collège Saint-Joseph,Paris 15,Privé,98.96666666666665,13.933333333333332,87.66666666666667
46,649,Collège Sainte-Louise,Paris 20,Privé,98.68333333333334,13.266666666666666,90
47,680,Collège École active bilingue Monceau,Paris 17,Privé,100,14.9,83.66666666666667
48,753,Collège de l'Alma,Paris 07,Privé,99.14999999999999,14.6,84.66666666666667
49,798,Collège Jean de La Fontaine,Paris 16,Public,94.53333333333335,12.966666666666667,91.66666666666667
50,801,Collège Claude Debussy,Paris 15,Public,92.08333333333333,13.233333333333334,91.66666666666667
51,833,Collège Eugène Napoléon Saint-Pierre Fourier,Paris 12,Privé,97.26666666666667,13.4,89
52,871,Collège Rognoni École des enfants du Spectacle,Paris 05,Public,98.68333333333334,14.266666666666666,85.33333333333333
53,894,Collège Charlemagne,Paris 04,Public,95.43333333333332,12.633333333333333,92
54,912,Collège Gabriel Fauré,Paris 13,Public,90.88333333333334,12.133333333333333,95.33333333333333
55,952,Collège Sainte-Élisabeth,Paris 15,Privé,99.48333333333333,14.266666666666666,84.66666666666667
56,954,Collège Victor Duruy,Paris 07,Public,95.28333333333335,12.966666666666667,90.66666666666667
57,986,Collège Saint-Georges,Paris 19,Privé,98.61666666666667,13.333333333333334,88
58,1021,Collège Paul Gauguin,Paris 09,Public,93.88333333333333,12.333333333333334,93
59,1047,Collège Saint-Germain de Charonne,Paris 20,Privé,97.56666666666666,13.266666666666666,88.33333333333333
60,1153,Collège Octave Gréard,Paris 08,Public,95.58333333333333,13.266666666666666,88.66666666666667
61,1189,Collège Janson de Sailly,Paris 16,Public,95.86666666666667,12.6,90.66666666666667
62,1199,Collège Buffon,Paris 15,Public,88.10000000000001,12.966666666666667,92.33333333333333
63,1246,Collège Honoré de Balzac,Paris 17,Public,94.01666666666667,11.833333333333334,93.66666666666667
64,1288,Collège Saint-Vincent,Paris 18,Privé,96.05,12.533333333333331,90.33333333333333
65,1347,Collège Jules Ferry,Paris 09,Public,91.14999999999999,11.833333333333334,94.33333333333333
66,1447,Collège Beaumarchais,Paris 11,Public,91.86666666666666,12.533333333333331,91.33333333333333
67,1465,Collège André Malraux,Paris 17,Public,94.56666666666668,12.9,89
68,1563,Collège Moulin des Prés,Paris 13,Public,90.45,12.366666666666667,92
69,1599,Collège Georges Courteline,Paris 12,Public,93.76666666666665,11.766666666666667,92.66666666666667
70,1633,Collège Rodin,Paris 13,Public,93.14999999999999,11.800000000000002,92.66666666666667
71,1676,Collège Saint-Louis,Paris 18,Privé,94.36666666666666,12.5,89.66666666666667
72,1714,Collège Pierre de Ronsard,Paris 17,Public,90.86666666666667,12.466666666666669,91
73,1720,Collège Lucien de Hirsch,Paris 19,Privé,99.56666666666666,12.966666666666669,86
74,1761,Collège Paul Bert,Paris 14,Public,92.55000000000001,12.233333333333334,91
75,1770,Collège Jean Moulin,Paris 14,Public,90.2,11.9,93
76,1907,Collège Camille Sée,Paris 15,Public,90.78333333333335,12.866666666666667,89
77,1957,Collège Yvonne le Tac,Paris 18,Public,94.14999999999999,12.733333333333333,88
78,2027,Collège Sainte-Geneviève,Paris 06,Privé,98.10000000000001,12.6,86.66666666666667
79,2032,Collège Jacques Decour,Paris 09,Public,90.5,12.166666666666666,91
80,2129,Collège Anne Frank,Paris 11,Public,91.18333333333334,12.100000000000001,90.66666666666667
81,2155,Collège Raymond Queneau,Paris 05,Public,95.68333333333334,12.933333333333332,86
82,2279,Collège Pilâtre de Rozier,Paris 11,Public,91.31666666666666,11.933333333333332,90.66666666666667
83,2359,Collège Jean-François Oeben,Paris 12,Public,92.44999999999999,11.433333333333332,91.66666666666667
84,2380,Collège Françoise Seligmann,Paris 10,Public,91.13333333333333,11.366666666666667,92.33333333333333
85,2420,Collège Guy Flavien,Paris 12,Public,87.81666666666666,11.9,91.66666666666667
86,2465,Collège César Franck,Paris 02,Public,91.8,12,89.66666666666667
87,2524,Collège de l'Assomption,Paris 16,Privé,99.51666666666667,13.733333333333334,80.66666666666667
88,2525,Collège Lucie Aubrac,Paris 11,Public,86.16666666666667,11.100000000000001,94.66666666666667
89,2613,Collège Alain Fournier,Paris 11,Public,92.2,11.433333333333332,91
90,2642,Collège Victor Hugo,Paris 03,Public,93.51666666666667,12.733333333333333,86
91,2710,Collège Montgolfier,Paris 03,Public,90.08333333333333,11.466666666666667,91.33333333333333
92,2792,Collège Roland Dorgelès,Paris 18,Public,89.53333333333335,11.633333333333333,90.66666666666667
93,2842,Collège Louise Michel,Paris 10,Public,91.06666666666666,12,88.66666666666667
94,2860,Collège Charles Péguy,Paris 19,Public,87.28333333333335,11.133333333333335,93
95,2971,Collège Françoise Dolto,Paris 20,Public,86.05,11.066666666666668,93.33333333333333
96,2984,Collège Georges Duhamel,Paris 15,Public,88.41666666666667,11.866666666666667,89.66666666666667
97,3043,Collège Beth Hanna,Paris 19,Privé,96.96666666666668,12.133333333333333,85.33333333333333
98,3201,Collège Jacques Prévert,Paris 06,Public,93.71666666666665,11.766666666666666,87.33333333333333
99,3212,Collège François Couperin,Paris 04,Public,94.3,12.866666666666667,83.33333333333333
100,3274,Collège La Rose blanche,Paris 17,Public,84,11.700000000000001,91
101,3282,Collège Maurice Ravel,Paris 20,Public,87.61666666666667,10.700000000000001,93
102,3333,Collège Voltaire,Paris 11,Public,87.11666666666666,11.1,91.66666666666667
103,3401,Collège Paul Verlaine,Paris 12,Public,87.39999999999999,11,91.66666666666667
104,3404,Collège Georges Leven,Paris 12,Privé,93,10.766666666666667,90.33333333333333
105,3447,Collège Claude Chappe,Paris 19,Public,84.45,12.066666666666668,89
106,3503,Collège Hélène Boucher,Paris 20,Public,83.35000000000001,10.866666666666667,93.33333333333333
107,3515,Collège Évariste Galois,Paris 13,Public,92.53333333333332,9.733333333333334,93.66666666666667
108,3746,Collège Jules Romains,Paris 07,Public,94.88333333333334,12,84.33333333333333
109,3810,Collège Gustave Flaubert,Paris 13,Public,88.35000000000001,10.799999999999999,90.66666666666667
110,3887,Collège Henri Matisse,Paris 20,Public,86.03333333333335,11.266666666666666,89.66666666666667
111,3914,Collège Jean Baptiste Poquelin,Paris 01,Public,90.26666666666667,11.066666666666668,88.66666666666667
112,3997,Collège N'R Hatorah,Paris 19,Privé,100,14.200000000000001,74
113,4137,Collège Marie Curie,Paris 18,Public,83.89999999999999,10.433333333333332,92.33333333333333
114,4146,Collège Saint-Honoré d'Eylau,Paris 16,Privé,96.71666666666665,13.9,75.66666666666667
115,4149,Collège Saint Jean Gabriel,Paris 04,Privé,93.10000000000001,12.533333333333331,81.66666666666667
116,4234,Collège Molière,Paris 16,Public,90.93333333333334,11.700000000000001,85
117,4287,Collège Georges Braque,Paris 13,Public,83.98333333333333,11.133333333333335,89.33333333333333
118,4410,Collège Alphonse Daudet,Paris 14,Public,88.45,11.066666666666668,87.33333333333333
119,4482,Collège la Grange aux Belles,Paris 10,Public,83.11666666666666,10.6,90.66666666666667
120,4508,Collège Jules Verne,Paris 12,Public,83.68333333333334,11,89
121,4589,Collège Stéphane Mallarmé,Paris 17,Public,81.5,10.466666666666667,91.33333333333333
122,4664,Collège Colette Besson,Paris 20,Public,84.36666666666667,10.133333333333333,91
123,4709,Collège Saint-Sulpice,Paris 06,Privé,91.64999999999999,10.433333333333334,87
124,4722,Collège Modigliani,Paris 15,Public,81.64999999999999,10.633333333333333,90
125,4743,Collège Édouard Pailleron,Paris 19,Public,83.56666666666668,11.666666666666666,85.66666666666667
126,4784,Collège Bernard Palissy,Paris 10,Public,88.01666666666667,10.733333333333334,87
127,4814,Collège Léon Gambetta,Paris 20,Public,83.38333333333334,9.733333333333334,92
128,4830,Collège André Citroën,Paris 15,Public,87.86666666666666,11.366666666666665,84.66666666666667
129,5011,Collège Valmy,Paris 10,Public,74.8,11.1,89.66666666666667
130,5014,Collège George Sand,Paris 13,Public,86.35000000000001,10.4,87.66666666666667
131,5050,Collège Antoine Coysevox,Paris 18,Public,81.10000000000001,10.7,
132,5059,Collège Paul Valéry,Paris 12,Public,85.06666666666666,10.966666666666667,86
133,5060,Collège Flora Tristan,Paris 20,Public,81.51666666666667,9.4,92.66666666666667
134,5131,Collège Madame de Staël,Paris 15,Public,84.85000000000001,11.366666666666665,84.33333333333333
135,5147,Collège Guillaume Budé,Paris 19,Public,81.05,9.9,90.66666666666667
136,5190,Collège Georges Brassens,Paris 19,Public,82.78333333333335,10.433333333333332,88
137,5365,Collège Edgar Varèse,Paris 19,Public,80.39999999999999,10.5,87.66666666666667
138,5452,Collège Thomas Mann,Paris 13,Public,85.81666666666666,10.233333333333334,86
139,5458,Collège Germaine Tillion,Paris 12,Public,77.41666666666667,10.566666666666666,88
140,5479,Collège Robert Doisneau,Paris 20,Public,83.91666666666667,9.7,88.33333333333333
141,5485,Collège Lucie Faure,Paris 20,Public,75.55,10.033333333333333,90.33333333333333
142,5571,Collège Henri Bergson,Paris 19,Public,85.71666666666665,10.2,85.33333333333333
143,5583,Collège Camille Claudel,Paris 13,Public,75.55,10.333333333333334,88.66666666666667
144,5607,Collège Jean Baptiste Clément,Paris 20,Public,80.68333333333332,9.6,89
145,5639,Collège Maurice Utrillo,Paris 18,Public,79.61666666666667,9.666666666666666,89
146,5681,Collège Georges Rouault,Paris 19,Public,83.78333333333335,9.233333333333334,88.66666666666667
147,5752,Collège Hector Berlioz,Paris 18,Public,82.42,9.45,88
148,5774,Collège Claude Bernard,Paris 16,Public,83.45,10.366666666666667,84.33333333333333
149,5803,Collège Mozart,Paris 19,Public,81.26666666666667,9.566666666666666,87.66666666666667
150,5912,Collège Guillaume Apollinaire,Paris 15,Public,82.01666666666667,10.766666666666666,82.33333333333333
151,5925,Collège Alberto Giacometti,Paris 14,Public,81.56666666666668,10,85
152,5958,Collège Sonia Delaunay,Paris 19,Public,79.93333333333334,8.633333333333333,90
153,5973,Collège Suzanne Lacore Paris Nord Est,Paris 19,Public,75.81666666666666,8.766666666666667,91
154,6012,Collège Georges Clemenceau,Paris 18,Public,79.45,8.633333333333335,89.66666666666667
155,6054,Collège Edmond Michelet,Paris 19,Public,77.31666666666666,9.433333333333334,87.33333333333333
156,6144,Collège Elsa Triolet,Paris 13,Public,83.33333333333333,10.1,82
157,6231,Collège Georges Méliès,Paris 19,Public,80.76666666666667,9.033333333333333,85.66666666666667
158,6245,Collège Sinaï,Paris 18,Privé,97.82,12.75,66.5
159,6248,Collège Boris Vian,Paris 17,Public,75.76666666666667,9.266666666666666,86.66666666666667
160,6338,Collège Pierre Mendès-France,Paris 20,Public,78.88333333333334,8.700000000000001,86.33333333333333
161,6392,Collège Marx Dormoy,Paris 18,Public,80.71666666666667,9,84
162,6436,Collège Jean Perrin,Paris 20,Public,80.05,8.9,84
163,6471,Collège Heikhal Menahem Sinaï,Paris 20,Privé,90.82499999999999,9.9,76
164,6486,Collège Gérard Philipe,Paris 18,Public,80.60000000000001,8.966666666666667,82.66666666666667
165,6531,Collège Aimé Césaire,Paris 18,Public,69.91666666666667,9.833333333333334,83
166,6607,Collège Catherine Labouré,Paris 14,Privé,89.18,10.533333333333333,71.33333333333333
167,6609,Collège Daniel Mayer,Paris 18,Public,77.95,7.466666666666666,86
168,6646,Collège François Villon,Paris 14,Public,72.7,9.1,81.33333333333333
169,6784,Collège Ozar Hatorah,Paris 11,Privé,87.55000000000001,9.266666666666667,65
